name,normalized_name,source,active
ALDRIDGE PITE,ALDRIDGE PITE,Indexed,Yes
MCCALLA RAYMER LEIBERT PIERCE,MCCALLA RAYMER LEIBERT PIERCE,Indexed,Yes
HALLIDAY WATKINS & MANN,HALLIDAY WATKINS & MANN,Indexed,Yes
MALCOLM CISNEROS,MALCOLM CISNEROS,Indexed,Yes
WILSON & ASSOC,WILSON ASSOC,Indexed,Yes
KORDE & ASSOC,KORDE ASSOC,Indexed,Yes
RAS LAW,RAS LAW,Indexed,Yes
ROSENBERG & ASSOC,ROSENBERG ASSOC,Indexed,Yes
Leu Okuda & Doi,LEU OKUDA DOI,Indexed,No
Doyle & Foutty,DOYLE FOUTTY,Indexed,Yes
Petosa Law,PETOSA LAW,Indexed,No
SOUTHLAW,SOUTHLAW,Indexed,Yes
"Clunk, Hoose, LPA",CLUNK HOOSE,Indexed,Yes
DEAN MORRIS,DEAN MORRIS,Indexed,Yes
TROTT LAW,TROTT LAW,Indexed,Yes
WILFORD GESKE & COOK,WILFORD GESKE COOK,Indexed,Yes
CODILIS,CODILIS,Indexed,Yes
TIFFANY & BOSCO / Reimer,TIFFANY BOSCO REIMER,Indexed,Yes
Foundation / Hutchens / Wilson,FOUNDATION HUTCHENS WILSON,Indexed,Yes
THE MORTGAGE LAW FIRM,MORTGAGE LAW FIRM,Indexed,Yes
PADGETT LAW GROUP,PADGETT LAW GROUP,Indexed,Yes
RUBIN LUBLIN,RUBIN LUBLIN,Indexed,Yes
Gray & Associates,GRAY ASSOCIATES,Indexed,No
ZBS,ZBS,Indexed,Yes
Orlans,ORLANS,Indexed,Yes
GHIDOTTI BERGER,GHIDOTTI BERGER,Indexed,Yes
FRIEDMAN VARTOLO,FRIEDMAN VARTOLO,Indexed,Yes
Manley Deas Kochalski,MANLEY DEAS KOCHALSKI,Indexed,No
McCabe,MCCABE,Indexed,Yes
Millsap & Singer,MILLSAP SINGER,Indexed,Yes
Bonial,BONIAL,Indexed,Yes
"DeLuca Law Group, PLLC.",DELUCA LAW GROUP,Indexed,Yes
"QUINTAIROS, PRIETO, WOOD",QUINTAIROS PRIETO WOOD,Indexed,Yes
"Frenkel Lambert Weiss Weisman & Gordon, LLP",FRENKEL LAMBERT WEISS WEISMAN GORDON,Indexed,Yes
Roach & Lin,ROACH LIN,Indexed,Yes
BWW LAW,BWW LAW,Indexed,Yes
"Mackie Wolf Zientz & Mann, P.C.",MACKIE WOLF ZIENTZ MANN,Indexed,Yes
"Liebo, Weingarden, Dobie & Barbee PLLP",LIEBO WEINGARDEN DOBIE BARBEE,Indexed,Yes
SCHNEIDERMAN & SHERMAN,SCHNEIDERMAN SHERMAN,Indexed,Yes
MCCARTHY & HOLTHUS,MCCARTHY HOLTHUS,Indexed,Yes
BROCK & SCOTT,BROCK SCOTT,Indexed,Yes
MARINOSCI LAW GROUP,MARINOSCI LAW GROUP,Indexed,Yes
BARRETT DAFFIN FRAPPIER,BARRETT DAFFIN FRAPPIER,Indexed,Yes
DE CUBAS & LEWIS,DE CUBAS LEWIS,Indexed,Yes
STERN & EISENBERG P.C.,STERN EISENBERG,Indexed,Yes
"PLUESE, BECKER SALTZMAN",PLUESE BECKER SALTZMAN,Indexed,Yes
BELL CARRINGTON,BELL CARRINGTON,Indexed,Yes
REISENFELD & ASSOCIATES,REISENFELD ASSOCIATES,Indexed,Yes
"STERN, LAVINTHAL,",STERN LAVINTHAL,Indexed,Yes
JACKSON & MCPHERSON LLC,JACKSON MCPHERSON,Indexed,Yes
ALBERTELLI LAW,ALBERTELLI LAW,Indexed,Yes
ANSELMO LINDBERG & ASSOC,ANSELMO LINDBERG ASSOC,Indexed,Yes
HERSCHEL C ADCOCK JR,HERSCHEL C ADCOCK JR,Indexed,Yes
INGLE LAW FIRM,INGLE LAW FIRM,Indexed,Yes
KML LAW,KML LAW,Indexed,Yes
MILLER GEORGE & SUGGS,MILLER GEORGE SUGGS,Indexed,Yes
NOONAN & LIEBERMAN,NOONAN LIEBERMAN,Indexed,Yes
SAMUEL I WHITE,SAMUEL I WHITE,Indexed,Yes
SAYER LAW,SAYER LAW,Indexed,Yes
SOKOLOF REMTULLA,SOKOLOF REMTULLA,Indexed,Yes
BDF LAW GROUP,BDF LAW GROUP,Indexed,Yes
HEAVNER BEYERS & MIHLAR,HEAVNER BEYERS MIHLAR,Indexed,Yes
SANDHU LAW GROUP,SANDHU LAW GROUP,Indexed,Yes
SCOTT AND CORLEY P.A.,SCOTT CORLEY,Indexed,Yes
"JANEWAY LAW FIRM, P.C",JANEWAY LAW FIRM,Indexed,Yes
LOGS Legal Group,LOGS LEGAL GROUP,Indexed,Yes
Tromberg,TROMBERG,Indexed,Yes
